case_id,variant,answerability,progress,section_discipline,non_leading_guidance,conciseness,notes
vague_opener,a_strict,,,,,,
vague_opener,b_anchored,,,,,,
dont_know,a_strict,,,,,,
dont_know,b_anchored,,,,,,
field_not_role,a_strict,,,,,,
field_not_role,b_anchored,,,,,,
career_changer,a_strict,,,,,,
career_changer,b_anchored,,,,,,
over_specific,a_strict,,,,,,
over_specific,b_anchored,,,,,,
competing_roles,a_strict,,,,,,
competing_roles,b_anchored,,,,,,
no_timeline,a_strict,,,,,,
no_timeline,b_anchored,,,,,,
unrealistic_timeline,a_strict,,,,,,
unrealistic_timeline,b_anchored,,,,,,
asks_back,a_strict,,,,,,
asks_back,b_anchored,,,,,,
volunteers_later_section,a_strict,,,,,,
volunteers_later_section,b_anchored,,,,,,
